ticker,name,sector,market,current_price,annual_return,volatility,annual_dividend_per_share,pe,roe,analyst_rating
131A.T,ＣＣＮグループ,情報・通信業,PRO Market,1737.0,0.011648223645894,0.01186197034868519,20.0,9.2423115,0.0,-
132A.T,アイエヌホールディングス,陸運業,PRO Market,220.0,0.0,0.0,0.0,87.64941,0.0,-
1332.T,ニッスイ,水産・農林業,プライム（内国株式）,1247.5,0.3270084085902769,0.2967903952249235,32.0,15.699464,0.1066,買い
134A.T,アプライズ,サービス業,PRO Market,1500.0,0.0,0.0,0.0,14.044944,0.0,-
1375.T,ユキグニファクトリー,水産・農林業,プライム（内国株式）,1110.0,-0.010371212009905952,0.1340164659415638,23.0,50.0,0.1008,-
1376.T,カネコ種苗,水産・農林業,スタンダード（内国株式）,1546.0,0.14147100746855507,0.23781405731549565,48.0,12.5311985,0.05158,-
1379.T,ホクト,水産・農林業,プライム（内国株式）,1924.0,0.0438966345884782,0.16064367817993666,55.0,11.025321,0.107080005,-
1380.T,秋川牧園,水産・農林業,スタンダード（内国株式）,1000.0,-0.019184391718022695,0.16177137738001837,10.0,44.64673,0.060229998,-
1381.T,アクシーズ,水産・農林業,スタンダード（内国株式）,3595.0,0.22010659626094442,0.36038618678373924,120.0,9.881473,0.10371,-
1383.T,ベルグアース,水産・農林業,スタンダード（内国株式）,3000.0,0.006728482264234602,0.12417143599631938,10.0,111.111115,0.052800003,-
1414.T,ショーボンドホールディングス,建設業,プライム（内国株式）,1290.0,0.0740408320653583,0.20106622619189762,45.5,20.0,0.1387,-
1417.T,ミライト・ワン,建設業,プライム（内国株式）,3469.0,0.23035445301143226,0.26591171728551477,85.0,16.611265,0.08816,強気買い
1418.T,インターライフホールディングス,建設業,スタンダード（内国株式）,597.0,0.48683136467319876,0.4056225442828826,30.0,7.948922,0.20125,-
1420.T,サンヨーホームズ,建設業,スタンダード（内国株式）,625.0,-0.07544378698224852,0.12324607956282117,25.0,6.891526,0.0348,-
1438.T,岐阜造園,建設業,スタンダード（内国株式）,2145.0,0.14060491817324994,0.1789906451435188,38.0,15.504074,0.11375,-
143A.T,イシン,サービス業,グロース（内国株式）,698.0,-0.33964049195837276,0.32933410527235457,0.0,10.139665,0.01154,-
1443.T,技研ホールディングス,建設業,スタンダード（内国株式）,257.0,0.2584154550606522,0.39086912827229137,1.1,8.018358,0.05262,-
1444.T,ニッソウ,建設業,グロース（内国株式）,2626.0,0.01233616037008481,0.21734894415334122,0.0,0.0,-0.026889998,-
145A.T,Ｌ　ｉｓ　Ｂ,情報・通信業,グロース（内国株式）,890.0,-0.18869644484958978,0.455300963759496,0.0,32.448376,0.07762,-
147A.T,ソラコム,情報・通信業,グロース（内国株式）,1058.0,0.1487513572204126,0.5167376807834761,0.0,84.110535,0.09277,-
1491.T,中外鉱業,非鉄金属,スタンダード（内国株式）,744.0,-0.40759057237800533,0.6004969179493174,34.0,12.642208,0.15832,-
1514.T,住石ホールディングス,鉱業,スタンダード（内国株式）,597.0,-0.08684737873214013,0.790417286225255,20.0,16.695059,0.11983,-
151A.T,ダイブグループ,サービス業,グロース（内国株式）,640.0,-0.34959349593495936,0.34083113067733034,0.0,11.365273,0.19674,-
153A.T,カウリス,情報・通信業,グロース（内国株式）,1256.0,-0.3449721033157711,0.7649959555903266,4.8,38.755535,0.23095,-
160A.T,アズパートナーズ,サービス業,スタンダード（内国株式）,2004.0,-0.2596807233865281,0.36306644943210736,70.0,6.273566,0.25823,-
1663.T,Ｋ＆Ｏエナジーグループ,鉱業,プライム（内国株式）,1800.0,0.19701486624664208,0.37738809234244614,30.0,15.847657,0.088690005,-
166A.T,タスキホールディングス,不動産業,プライム（内国株式）,1149.0,0.5391224494601319,0.36395902306519223,52.0,8.76113,0.0,-
167A.T,リョーサン菱洋ホールディングス,卸売業,プライム（内国株式）,3090.0,0.12467227226782482,0.2571725570385344,140.0,14.700289,0.0,-
168A.T,イタミアート,その他製品,グロース（内国株式）,1086.0,0.09172207896785188,0.7422469059355504,20.0,11.489777,0.11935,-
1711.T,ＳＤＳホールディングス,建設業,スタンダード（内国株式）,240.0,-0.22077922077922077,0.5634401346886775,0.0,0.0,-0.069510005,-
1719.T,安藤・間,建設業,プライム（内国株式）,1854.5,0.15068345401118138,0.2134972913179578,80.0,11.947112,0.0,中立
171A.T,ゼロジャパン,卸売業,PRO Market,2167.0,0.0,0.0,0.0,9.930346,0.0,-
1721.T,コムシスホールディングス,建設業,プライム（内国株式）,5246.0,0.5100301653030498,0.246497119342912,130.0,19.841476,0.08924,-
1723.T,日本電技,建設業,スタンダード（内国株式）,2199.0,0.7034267474437547,0.5140061927503248,40.0,20.367168,0.15873,-
1736.T,オーテック,建設業,スタンダード（内国株式）,2485.0,0.6717955456277511,0.37649048345703534,82.0,10.320117,0.15039,-
1768.T,ソネック,建設業,スタンダード（内国株式）,1018.0,0.07640849785720716,0.49298741066330193,50.0,10.373286,0.12292,-
1783.T,ｆａｎｔａｓｉｓｔａ,不動産業,スタンダード（内国株式）,47.0,-0.16071428571428573,0.5102040686662336,0.0,0.0,-0.03079,-
1787.T,ナカボーテック,建設業,スタンダード（内国株式）,6020.0,0.19218306746439756,0.2118153596643011,335.0,15.313814,0.11076,-
1788.T,三東工業社,建設業,スタンダード（内国株式）,4365.0,0.12641783172329257,0.3741963717036653,130.0,9.794282,0.094849996,-
1793.T,大本組,建設業,スタンダード（内国株式）,2038.0,0.5985424844749281,0.3432876329561135,50.0,33.111782,0.03313,-
1795.T,マサル,建設業,スタンダード（内国株式）,5550.0,0.3321469524606933,0.2990540463884141,160.0,10.559673,0.08607,-
1798.T,守谷商会,建設業,スタンダード（内国株式）,1006.0,0.232958692456537,0.43262085644686393,36.0,4.9456887,0.16181,-
1799.T,第一建設工業,建設業,スタンダード（内国株式）,3285.0,0.03167474937223255,0.3416068916486647,160.0,12.706318,0.060149997,-
